title,description
KIY,Kilwa Masoko Airport
KRM,Karanambo Airport
SEN,Southend Airport
SKR,Shakiso Airport
SBL,Santa Ana Del Yacuma Airport
BRX,Maria Montez International Airport
BDX,Broadus Airport
JDG,Jeongseok Airport
TIK,Tinker Air Force Base
KUG,Kubin Airport
ACJ,Anuradhapura Air Force Base
RVT,Ravensthorpe Airport
GGC,Lumbala Airport
BFE,Bielefeld Airport
CNJ,Cloncurry Airport
MFV,Accomack County Airport
SBG,Maimun Saleh Airport
FST,Fort Stockton Pecos County Airport
BNV,Boana Airport
DYM,Diamantina Lakes Airport
JJI,Juanjui Airport
SLN,Salina Municipal Airport
MDE,Jose Maria Córdova International Airport
YHR,Chevery Airport
WTO,Wotho Island Airport
HRM,Hassi R'Mel Airport
FKI,Bangoka International Airport
IKO,Nikolski Air Station
MVD,Carrasco International /General C L Berisso Airport
UET,Quetta International Airport
LPB,El Alto International Airport
DKA,Katsina Airport
IGM,Kingman Airport
SEQ,Sungai Pakning Bengkalis Airport
POA,Salgado Filho Airport
PPT,Faa'a International Airport
XPK,Pukatawagan Airport
SFH,San Felipe International Airport
SFL,São Filipe Airport
CNB,Coonamble Airport
VBV,Vanua Balavu Airport
DAK,Dakhla Airport
UUS,Yuzhno-Sakhalinsk Airport
EMI,Emirau Airport
LUP,Kalaupapa Airport
GEL,Santo Ângelo Airport
QIT,Itapetinga Airport
JVI,Central Jersey Regional Airport
HLW,Hluhluwe Airport
TRO,Taree Airport
OBY,Ittoqqortoormiit Heliport
REA,Reao Airport
YZA,Cache Creek-Ashcroft Regional Airport
HDG,Handan Airport
IQM,Qiemo Yudu Airport
REQ,Reko Diq Airport
RKT,Ras Al Khaimah International Airport
ASB,Ashgabat International Airport
QEO,Bielsko-Bialo Kaniow Airfield
MDY,Henderson Field
ISG,New Ishigaki Airport
RVY,Presidente General Don Oscar D. Gestido International Airport
VAV,Vava'u International Airport
BBE,Big Bell Airport
NQT,Nottingham Airport
MHN,Hooker County Airport
SGU,St George Municipal Airport
OLC,Senadora Eunice Micheles Airport
SWA,Jieyang Chaoshan International Airport
DTA,Delta Municipal Airport
CJM,Chumphon Airport
LUN,Kenneth Kaunda International Airport Lusaka
TKR,Thakurgaon Airport
